Date,Price,Open,High,Low,Vol.,Change %
"May 21, 2020","2948,51","2969,95","2978,5","2938,57",-,-0.78%
"May 20, 2020","2971,61","2953,63","2980,29","2953,63",-,1.67%
"May 19, 2020","2922,94","2948,59","2964,21","2922,35",-,-1.05%
"May 18, 2020","2953,91","2913,86","2968,09","2913,86",-,3.15%
"May 15, 2020","2863,7","2829,95","2865,01","2816,78",-,0.39%
"May 14, 2020","2852,5","2794,54","2852,8","2766,64",-,1.15%
"May 13, 2020",2820,"2865,86","2874,14","2793,15",-,-1.75%
"May 12, 2020","2870,12","2939,5","2945,82","2869,59",-,-2.05%
"May 11, 2020","2930,32","2915,46","2944,25","2903,44",-,0.02%
"May 08, 2020","2929,8","2908,83","2932,16","2902,88",-,1.69%
"May 07, 2020","2881,19","2878,26","2901,92","2876,48",-,1.15%
"May 06, 2020","2848,42","2883,14","2891,11","2847,65",-,-0.70%
"May 05, 2020","2868,44","2868,88","2898,23","2863,55",-,0.90%
"May 04, 2020","2842,74","2815,01","2844,24","2797,85",-,0.42%
"May 01, 2020","2830,71","2869,09","2869,09","2821,61",-,-2.81%
"Apr 30, 2020","2912,43","2930,91","2930,91","2892,47",-,-0.92%
"Apr 29, 2020","2939,51","2918,46","2954,86","2912,16",-,2.66%
"Apr 28, 2020","2863,39","2909,96","2921,15","2860,71",-,-0.52%
"Apr 27, 2020","2878,48","2854,65","2887,72","2852,89",-,1.47%
"Apr 24, 2020","2836,74","2812,64","2842,71","2791,76",-,1.39%
"Apr 23, 2020","2797,8","2810,42","2844,9","2794,26",-,-0.05%
"Apr 22, 2020","2799,31","2787,89","2815,1","2775,95",-,2.29%
"Apr 21, 2020","2736,56","2784,81","2785,54","2727,1",-,-3.07%
"Apr 20, 2020","2823,16","2845,62","2868,98","2820,43",-,-1.79%
"Apr 17, 2020","2874,56","2842,43","2879,22","2830,88",-,2.68%
"Apr 16, 2020","2799,55","2799,34","2806,51","2764,32",-,0.58%
"Apr 15, 2020","2783,36","2795,64","2801,88","2761,54",-,-2.20%
"Apr 14, 2020","2846,06","2805,1","2851,85","2805,1",-,3.06%
"Apr 13, 2020","2761,63","2782,46","2782,46","2721,17",-,-1.01%
"Apr 09, 2020","2789,82","2776,99","2818,57","2762,36",-,1.45%
"Apr 08, 2020","2749,98",2685,"2760,75","2663,3",-,3.41%
"Apr 07, 2020","2659,41","2738,65","2756,89","2657,67",-,-0.16%
"Apr 06, 2020","2663,68","2578,28","2676,85","2574,57",-,7.03%
"Apr 03, 2020","2488,65","2514,92","2538,18","2459,96",-,-1.51%
"Apr 02, 2020","2526,9","2458,54","2533,22","2455,79",-,2.28%
"Apr 01, 2020","2470,5","2498,08","2522,75","2447,49",-,-4.41%
"Mar 31, 2020","2584,59","2614,69","2641,39","2571,15",-,-1.60%
"Mar 30, 2020","2626,65","2558,98","2631,8","2545,28",-,3.35%
"Mar 27, 2020","2541,47","2555,87","2615,91","2520,02",-,-3.37%
"Mar 26, 2020","2630,07","2501,29","2637,01","2500,72",-,6.24%
"Mar 25, 2020","2475,56","2457,77","2571,42","2407,53",-,1.15%
"Mar 24, 2020","2447,33","2344,44","2449,71","2344,44",-,9.38%
"Mar 23, 2020","2237,4","2290,71","2300,73","2191,86",-,-2.93%
"Mar 20, 2020","2304,92","2431,94","2453,01","2295,56",-,-4.34%
"Mar 19, 2020","2409,39","2393,48","2466,97","2319,78",-,0.47%
"Mar 18, 2020","2398,1","2436,5","2453,57","2280,52",-,-5.18%
"Mar 17, 2020","2529,19","2425,66","2553,93","2367,04",-,6.00%
"Mar 16, 2020","2386,13","2508,59","2562,98","2380,94",-,-11.98%
"Mar 13, 2020","2711,02","2569,99","2711,33","2492,37",-,9.29%
"Mar 12, 2020","2480,64","2630,86","2660,95","2478,86",-,-9.51%
"Mar 11, 2020","2741,38","2825,6","2825,6","2707,22",-,-4.89%
"Mar 10, 2020","2882,23","2813,48","2882,59",2734,-,4.94%
"Mar 09, 2020","2746,56","2863,89","2863,89","2734,43",-,-7.60%
"Mar 06, 2020","2972,37","2954,2","2985,93","2901,54",-,-1.71%
"Mar 05, 2020","3023,94","3075,7","3083,04","2999,83",-,-3.39%
"Mar 04, 2020","3130,12","3045,75","3130,97","3034,38",-,4.22%
"Mar 03, 2020","3003,37","3096,46","3136,72","2976,63",-,-2.81%
"Mar 02, 2020","3090,23","2974,28","3090,96","2945,19",-,4.60%
"Feb 28, 2020","2954,22","2916,9","2959,72","2855,84",-,-0.82%
"Feb 27, 2020","2978,76","3062,54","3097,07","2977,39",-,-4.42%
"Feb 26, 2020","3116,39","3139,9","3182,51","3108,99",-,-0.38%
"Feb 25, 2020","3128,21","3238,94","3246,99","3118,77",-,-3.03%
"Feb 24, 2020","3225,89","3257,61","3259,81","3214,65",-,-3.35%
"Feb 21, 2020","3337,75","3360,5","3360,76","3328,45",-,-1.05%
"Feb 20, 2020","3373,23","3380,45","3389,15","3341,02",-,-0.38%
"Feb 19, 2020","3386,15","3380,39","3393,52","3378,83",-,0.47%
"Feb 18, 2020","3370,29","3369,04","3375,01","3355,61",-,-0.29%
"Feb 14, 2020","3380,16","3378,08","3380,69","3366,15",-,0.18%
"Feb 13, 2020","3373,94","3365,9","3385,09","3360,52",-,-0.16%
"Feb 12, 2020","3379,45","3370,5","3381,47","3369,72",-,0.65%
"Feb 11, 2020","3357,75","3365,87","3375,63","3352,72",-,0.17%
"Feb 10, 2020","3352,09","3318,28","3352,26","3317,77",-,0.73%
"Feb 07, 2020","3327,71","3335,54","3341,42","3322,12",-,-0.54%
"Feb 06, 2020","3345,78","3344,92","3347,96","3334,39",-,0.33%
"Feb 05, 2020","3334,69","3324,91","3337,58","3313,75",-,1.13%
"Feb 04, 2020","3297,59","3280,61","3306,92","3280,61",-,1.50%
"Feb 03, 2020","3248,92","3235,66","3268,44","3235,66",-,0.73%
"Jan 31, 2020","3225,52","3282,33","3282,33","3214,68",-,-1.77%
"Jan 30, 2020","3283,66","3256,45","3285,91","3242,8",-,0.31%
"Jan 29, 2020","3273,4","3289,46","3293,47","3271,89",-,-0.09%
"Jan 28, 2020","3276,24","3255,35","3285,78","3253,22",-,1.01%
"Jan 27, 2020","3243,63","3247,16","3258,85","3234,5",-,-1.57%
"Jan 24, 2020","3295,47","3333,1","3333,18","3281,53",-,-0.90%
"Jan 23, 2020","3325,54","3315,77","3326,88","3301,87",-,0.11%
"Jan 22, 2020","3321,75","3330,02","3337,77","3320,04",-,0.03%
"Jan 21, 2020","3320,79","3321,03","3329,79","3316,61",-,-0.27%
"Jan 17, 2020","3329,62","3323,66","3329,88","3318,86",-,0.39%
"Jan 16, 2020","3316,81","3302,97","3317,11","3302,82",-,0.84%
"Jan 15, 2020","3289,29","3282,27","3298,66","3280,69",-,0.19%
"Jan 14, 2020","3283,15","3285,35","3294,25","3277,19",-,-0.15%
"Jan 13, 2020","3288,13","3271,13","3288,13","3268,43",-,0.70%
"Jan 10, 2020","3265,35","3281,81","3282,99","3260,86",-,-0.29%
"Jan 09, 2020","3274,7","3266,03","3275,58","3263,67",-,0.67%
"Jan 08, 2020","3253,05","3238,59","3267,07","3236,67",-,0.49%
"Jan 07, 2020","3237,18","3241,86","3244,91","3232,43",-,-0.28%
"Jan 06, 2020","3246,28","3217,55","3246,84","3214,64",-,0.35%
"Jan 03, 2020","3234,85","3226,36","3246,15","3222,34",-,-0.71%
"Jan 02, 2020","3257,85","3244,67","3258,14","3235,53",-,0.84%
"Dec 31, 2019","3230,78","3215,18","3231,72","3212,03",-,0.29%
"Dec 30, 2019","3221,29","3240,09","3240,92","3216,57",-,-0.58%
"Dec 27, 2019","3240,02","3247,23","3247,93","3234,37",-,0.00%
"Dec 26, 2019","3239,91","3227,2","3240,08","3227,2",-,0.51%
"Dec 24, 2019","3223,38","3225,45","3226,43","3220,51",-,-0.02%
"Dec 23, 2019","3224,01","3226,05","3227,78","3222,3",-,0.09%
"Dec 20, 2019","3221,22","3223,33","3225,65","3216,03",-,0.49%
"Dec 19, 2019","3205,37","3192,32","3205,48","3192,32",-,0.45%
"Dec 18, 2019","3191,14","3195,21","3198,48","3191,14",-,-0.04%
"Dec 17, 2019","3192,52","3195,4","3198,22","3191,03",-,0.03%
"Dec 16, 2019","3191,45","3183,63","3197,71","3183,63",-,0.71%
"Dec 13, 2019","3168,8","3166,65","3182,68","3156,51",-,0.01%
"Dec 12, 2019","3168,57","3141,23","3176,28","3138,47",-,0.86%
"Dec 11, 2019","3141,63","3135,75","3143,98","3133,21",-,0.29%
"Dec 10, 2019","3132,52","3135,36","3142,12","3126,09",-,-0.11%
"Dec 09, 2019","3135,96","3141,86","3148,87","3135,46",-,-0.32%
"Dec 06, 2019","3145,91","3134,62","3150,6","3134,62",-,0.91%
"Dec 05, 2019","3117,43","3119,21","3119,45","3103,76",-,0.15%
"Dec 04, 2019","3112,76","3103,5","3119,38","3102,53",-,0.63%
"Dec 03, 2019","3093,2","3087,41","3094,97","3070,33",-,-0.66%
"Dec 02, 2019","3113,87","3143,85","3144,31","3110,78",-,-0.86%
"Nov 29, 2019","3140,98","3147,18","3150,3","3139,34",-,-0.40%
"Nov 27, 2019","3153,63","3145,49","3154,26","3143,41",-,0.42%
"Nov 26, 2019","3140,52","3134,85","3142,69",3131,-,0.22%
"Nov 25, 2019","3133,64","3117,44","3133,83","3117,44",-,0.75%
"Nov 22, 2019","3110,29","3111,41","3112,87","3099,26",-,0.22%
"Nov 21, 2019","3103,54","3108,49","3110,11","3094,55",-,-0.16%
"Nov 20, 2019","3108,46","3114,66","3118,97","3091,41",-,-0.38%
"Nov 19, 2019","3120,18","3127,45","3127,64","3113,47",-,-0.06%
"Nov 18, 2019","3122,03","3117,91","3124,17","3112,06",-,0.05%
"Nov 15, 2019","3120,46","3107,92","3120,46","3104,6",-,0.77%
"Nov 14, 2019","3096,63","3090,75","3098,2","3083,26",-,0.08%
"Nov 13, 2019","3094,04","3084,18","3098,06","3078,8",-,0.07%
"Nov 12, 2019","3091,84","3089,28","3102,61","3084,73",-,0.16%
"Nov 11, 2019","3087,01","3080,33","3088,33","3075,82",-,-0.20%
"Nov 08, 2019","3093,08","3081,25","3093,09","3073,58",-,0.26%
"Nov 07, 2019","3085,18","3087,02","3097,77","3080,23",-,0.27%
"Nov 06, 2019","3076,78","3075,1","3078,34","3065,89",-,0.07%
"Nov 05, 2019","3074,62","3080,8","3083,95","3072,15",-,-0.12%
"Nov 04, 2019","3078,27","3078,96","3085,2","3074,87",-,0.37%
