Date,Price,Open,High,Low,Vol.,Change %,Date,Price,Open,High,Low,Vol.,Change %
"Feb 05, 2006","2,4","2,57","2,59","2,25",6.91B,-6.61%,"Feb 05, 2006","1266,99","1264,03","1274,56","1253,61",11.69B,0.23%
"Jan 29, 2006","2,57","2,54","2,74","2,53",4.23B,0.00%,"Jan 29, 2006","1264,03","1283,72","1287,94","1261,02",12.43B,-1.53%
"Jan 22, 2006","2,57","2,72","2,84","2,54",5.62B,-5.51%,"Jan 22, 2006","1283,72","1261,49","1286,38","1259,42",12.96B,1.76%
"Jan 15, 2006","2,72","3,06","3,08","2,71",4.88B,-11.11%,"Jan 15, 2006","1261,49","1287,61","1287,79","1260,92",9.70B,-2.03%
"Jan 08, 2006","3,06","2,74","3,09","2,7",6.51B,12.50%,"Jan 08, 2006","1287,61","1285,45","1294,9","1282,78",11.61B,0.17%
"Jan 01, 2006","2,72","2,58","2,74","2,58",2.58B,5.84%,"Jan 01, 2006","1285,45","1248,29","1286,09","1245,74",9.95B,2.98%
"Dec 25, 2005","2,57","2,64","2,68","2,51",2.10B,-1.91%,"Dec 25, 2005","1248,29","1268,66","1271,83","1246,59",5.79B,-1.61%
"Dec 18, 2005","2,62","2,54","2,66","2,54",2.08B,3.15%,"Dec 18, 2005","1268,66","1267,32","1270,51","1257,21",9.44B,0.11%
"Dec 11, 2005","2,54","2,67","2,69","2,51",3.70B,-4.15%,"Dec 11, 2005","1267,32","1259,37","1275,8","1255,52",11.18B,0.63%
"Dec 04, 2005","2,65","2,57","2,67","2,55",3.47B,2.32%,"Dec 04, 2005","1259,37","1265,08","1272,89","1250,91",10.60B,-0.45%
"Nov 27, 2005","2,59","2,53","2,6","2,41",4.21B,4.44%,"Nov 27, 2005","1265,08","1268,25","1268,44","1249,39",11.40B,-0.25%
"Nov 20, 2005","2,48","2,31","2,48","2,28",1.93B,7.36%,"Nov 20, 2005","1268,25","1248,27","1270,64","1246,9",7.12B,1.60%
"Nov 13, 2005","2,31","2,2","2,35","2,18",2.90B,5.00%,"Nov 13, 2005","1248,27","1234,72","1249,58","1226,41",11.13B,1.10%
"Nov 06, 2005","2,2","2,17","2,22","2,11",2.76B,0.92%,"Nov 06, 2005","1234,72","1220,14","1235,7","1215,05",10.32B,1.19%
"Oct 30, 2005","2,18","1,97","2,23","1,96",4.32B,11.79%,"Oct 30, 2005","1220,14","1198,41","1224,7","1198,41",12.44B,1.81%
"Oct 23, 2005","1,95","1,97","2,06","1,93",2.90B,-2.01%,"Oct 23, 2005","1198,41","1179,59","1204,01","1178,89",11.75B,1.60%
